id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag,snr
120,278.2518337572237,221.36649439829282,0.4391731632536384,0.21199151873588562,-0.04795720628563538,25,1.9146111011505127,24.86133575439453,-3.4888112545013428,-0.3460064931455336,12.011748313903809
113,154.67136877947203,202.04524506434456,0.4453593521930259,0.004892593249678612,-0.07698230629540545,25,1.8971514701843262,21.723310470581055,-3.3423149585723877,-0.5029973465889006,11.899588584899902
111,288.4649694653162,193.2441255021809,0.46109744230687966,0.22404298186302185,-0.16522926784001501,25,1.890811562538147,18.768062591552734,-3.18354868888855,-0.5788331746223087,11.858860969543457
49,154.47201280365098,82.92146840817146,0.446870313194399,-0.11371739953756332,-0.19237597416077426,25,1.8781383037567139,20.593338012695312,-3.2843170166015625,-0.5028480427554329,11.777448654174805
72,140.57697255956913,138.17160902505628,0.4499073069879995,0.11182428896427155,-0.17491018267307268,25,1.8586350679397583,20.82697105407715,-3.296565532684326,-0.4569280339830945,11.65216064453125
7,263.1663029157114,14.385465731451536,0.4354484128116129,0.16710685193538666,0.7439269692115004,25,1.8558048009872437,29.168376922607422,-3.662280797958374,-0.07814833486302063,11.633979797363281
145,297.00992583486055,266.6159364146252,0.4632303406012991,0.03325434774160385,-0.06735769153207585,25,1.8151973485946655,21.656681060791016,-3.338979721069336,-0.3519082152860358,11.373119354248047
104,181.36039602056493,183.9371098129615,0.46512827409029733,0.47079601883888245,0.14617980648445975,25,1.8025050163269043,21.622007369995117,-3.337239980697632,-0.3687552395560467,11.291584014892578
109,76.32527394112185,192.38880615185406,0.43467479075286597,0.300557404756546,0.48388569129955095,25,1.7719701528549194,26.302465438842773,-3.5499911308288574,-0.11143564051854739,11.095429420471191
6,101.46803857677567,13.853851903236897,0.4415461119105813,0.08527888357639313,-0.0008040209123302871,25,1.7109493017196655,20.33663558959961,-3.270697832107544,-0.34516492465502374,10.703434944152832
91,118.54259558952899,161.32900904867023,0.48358693501410926,-0.6416225433349609,0.0957304162264766,25,1.7097364664077759,24.713973999023438,-3.482356309890747,-0.12597755541627978,10.695643424987793
94,221.18407947040836,163.05979683443533,0.4451761301328766,0.44470271468162537,-0.0544096055313336,25,1.6952627897262573,17.93790626525879,-3.134429454803467,-0.43010628642757387,10.602665901184082
31,111.09996971036131,56.391251358095815,0.4521963311213654,0.005829703528434038,0.21505378247833673,25,1.683259129524231,23.086153030395508,-3.408379077911377,-0.18255327208617217,10.525554656982422
57,38.56109042431428,96.23267008512562,0.45549177054156215,0.2597629129886627,-0.07852688399490401,25,1.6671372652053833,18.865629196166992,-3.189177989959717,-0.3385319802559833,10.421988487243652
112,50.62483480171698,201.37091226473854,0.4402461013502949,0.5639449954032898,0.2539611080240189,25,1.6354656219482422,23.784395217895508,-3.440730333328247,-0.044988037204327286,10.218531608581543
76,287.3199764944662,145.99980257748203,0.42868219702027843,-0.5406931042671204,-0.3278375911900168,25,1.6315817832946777,18.98674964904785,-3.1961264610290527,-0.2958798764815648,10.193582534790039
107,266.6956741284537,189.4320320771089,0.4697441242641837,-0.27232736349105835,0.015294120837597718,25,1.5574792623519897,14.698813438415527,-2.918205499649048,-0.4037580664500323,9.717551231384277
59,21.239463939745587,99.7245036172266,0.4427416207428002,-0.06673424690961838,0.008294999023914559,25,1.5485255718231201,21.47421646118164,-3.3297932147979736,-0.044272367572897556,9.660033226013184
33,272.6768023573819,57.076510870996756,0.45098649517127537,0.4451581537723541,-0.13976196958888562,25,1.5134888887405396,14.84822940826416,-2.9291865825653076,-0.3501719623521396,9.434959411621094
96,38.99361527803206,168.45073237408363,0.46411581074508296,0.06976456195116043,0.15583539655733103,25,1.4995863437652588,16.280385971069336,-3.0291616916656494,-0.268026013090409,9.345649719238281
80,32.24177393797495,149.88300310979156,0.4553874024340343,-0.45002835988998413,-0.13110755481305644,25,1.4924904108047485,17.25688362121582,-3.0924057960510254,-0.21310795312065686,9.300065994262695
95,6.587165545739373,165.15548280767678,0.454029897831693,-0.10750489681959152,0.29913182032262525,25,1.479738473892212,20.194780349731445,-3.2630977630615234,-0.05969223664426765,9.218148231506348
60,192.16023936569252,100.96236420399033,0.4685975238914573,0.2910451591014862,0.06414301838005565,25,1.4737530946731567,15.027643203735352,-2.9422271251678467,-0.2840592994623151,9.179698944091797
79,3.2847527329652446,149.48275565521251,0.4457043878071819,-0.09356872737407684,0.1352292926782346,25,1.4474557638168335,18.096988677978516,-3.1440157890319824,-0.09997688763033648,9.01076602935791
10,287.11231465376903,19.127546852543784,0.4694611659510924,-0.07031608372926712,0.16685919472215444,25,1.4296594858169556,15.24118423461914,-2.9575467109680176,-0.19505136764088535,8.896443367004395
56,256.0346099614859,92.68357082510643,0.4519424158183525,0.3958505392074585,0.10284292462756355,25,1.409982442855835,14.64453411102295,-2.914188861846924,-0.25102716114482415,8.770039558410645
84,298.55039855906494,155.01727309390887,0.7126226283308833,0.3512411415576935,0.4342832465416963,25,1.3979185819625854,7.173208236694336,-2.1392836570739746,-0.2591008567754155,8.692541122436523
81,228.60860651508432,152.490401121124,0.46234663697845635,-0.11306300014257431,0.39022145371077055,25,1.386549711227417,16.222381591796875,-3.0252864360809326,-0.10189340807840676,8.619508743286133
115,295.7032059414249,202.59757492813822,0.46313569569229457,0.06307002902030945,-0.06424234873300616,25,1.3769996166229248,14.792524337768555,-2.925105571746826,-0.210571520328242,8.558158874511719
101,234.14986436524202,180.10820035459722,0.4748612879914191,0.5278934836387634,-0.2611526790862858,25,1.3645079135894775,13.716103553771973,-2.8430769443511963,-0.163968471489955,8.477912902832031
154,68.37500627404168,294.9939857651912,0.4671245325730529,0.10427887737751007,-0.032077983429337965,25,1.331500768661499,12.748971939086914,-2.763688087463379,-0.21536435322565603,8.265876770019531
123,266.3212739354978,224.98294951544548,0.46562336499745677,0.1390359252691269,-0.0990867256225089,25,1.3259460926055908,13.252862930297852,-2.805774211883545,-0.17642045383299995,8.230194091796875
37,134.97535633050023,69.00809657172037,0.4517277186632895,0.34595799446105957,-0.07035903723103884,25,1.3191485404968262,15.465527534484863,-2.973412036895752,-0.07633437843513298,8.186527252197266
20,259.9478708385493,36.76540703447569,0.480463239490356,-0.2884462773799896,-0.11356467612537598,25,1.2837507724761963,14.990525245666504,-2.939542293548584,-0.008340121784533413,7.959133148193359
