id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag,snr
8,57.05535000247464,54.50272356920254,0.3984057251028028,0.04165653511881828,-0.022016128363134213,25,1592.032470703125,32747.26171875,-11.28793716430664,-4.639268203936264,1944.836181640625
24,15.81480717847682,295.4386363139886,0.3956297522470461,0.033989086747169495,0.005488211870105443,25,225.76206970214844,4585.23486328125,-9.153404235839844,-2.5847345544580387,275.13751220703125
26,15.897271568793713,296.2073311041082,0.2282116748605884,-0.22927266359329224,-0.41893396190029886,25,162.3847198486328,3230.431396484375,-8.773151397705078,-2.6893500741891114,197.68499755859375
20,73.60847722580738,199.86757690797444,0.39579029189269754,0.0779777392745018,-0.05151351852250721,25,155.0450439453125,3155.783447265625,-8.747767448425293,-2.170032825804654,188.7152862548828
10,11.585485730989838,57.84453992320564,0.3960396505590145,0.07864462584257126,-0.08676030200133573,25,151.3352508544922,3095.615234375,-8.72686767578125,-2.1196107778667894,184.1815948486328
16,195.07373166089099,158.27024519289145,0.3988674280135832,0.08446833491325378,0.027649195429818398,25,109.64057922363281,2211.341064453125,-8.361639022827148,-1.828536760956565,133.2271728515625
4,132.11485927068355,17.243476932216158,0.39880180517244623,0.07931102812290192,0.02293471364038229,25,108.49761962890625,2191.25439453125,-8.35173225402832,-1.8110384900307797,131.8303680419922
22,20.18030408040247,240.46212051748833,0.39496035560304077,0.05379435792565346,0.020375466175092775,25,103.26827239990234,2078.929931640625,-8.294599533081055,-1.7799305019134803,125.43966674804688
17,284.70009989356214,162.09478270550687,0.3976295926747867,0.07675144076347351,0.03234906834373085,25,95.11148071289062,1916.5848388671875,-8.206320762634277,-1.6811841714841038,115.47137451171875
1,5.000570808791428,6.228496576475493,0.39837403169962426,0.08415576815605164,0.008180597918249901,25,55.232173919677734,1108.31884765625,-7.611661434173584,-1.1079847067810402,66.7354736328125
2,204.036129342211,7.224278430907773,0.39814360455762127,0.08286786824464798,-0.004839054535173794,25,51.51543045043945,1034.0452880859375,-7.536348819732666,-1.0314068839854482,62.193294525146484
3,165.0349404525609,12.667278100669785,0.3974303240580701,0.055794741958379745,-0.0040675942916846754,25,46.029136657714844,925.8353271484375,-7.41633415222168,-0.9049550596905033,55.48857879638672
23,63.034580598048166,247.6559041559852,0.39736452082535156,0.0504932664334774,-0.015201640750431181,25,44.14960479736328,886.8372802734375,-7.369609832763672,-0.8659720090906737,53.19163131713867
6,61.27892853339078,34.19868468018272,0.3962337812800073,0.07078023254871368,0.062303730571105484,25,41.386680603027344,852.20068359375,-7.32635498046875,-0.6738333349543174,49.815101623535156
21,249.15317806676887,232.88836688149726,0.39781870885008197,0.07224541902542114,0.021120674588609806,25,39.1163444519043,786.0498046875,-7.238625526428223,-0.726769732389213,47.040557861328125
9,28.389062006403837,55.098421397804316,0.39622714241441614,0.07166795432567596,-0.044023674352344916,25,37.26603317260742,763.990966796875,-7.2077202796936035,-0.5889181859836714,44.779319763183594
11,134.10012098613888,63.90884711537539,0.39779316662347824,0.07271340489387512,0.0019526142446911728,25,36.95490646362305,745.91015625,-7.181716442108154,-0.6444661266794822,44.39909744262695
14,42.46546638424797,132.62699427511896,0.3927100492206323,0.07444548606872559,0.022595031536170165,25,30.09680938720703,611.5382690429688,-6.96605920791626,-0.39480339602754183,36.017921447753906
15,109.25858883411205,148.0464376033782,0.3976886953691404,0.06612732261419296,0.012141444887031132,25,28.363529205322266,570.4778442382812,-6.890596866607666,-0.37769338455948154,33.89970397949219
25,116.94185947138972,295.50069419615164,0.39698119318327746,0.03749057278037071,0.014865970350741515,25,28.26810073852539,574.460693359375,-6.89815092086792,-0.33095511100723596,33.7830810546875
13,142.24757716854185,127.0324881290279,0.3976654026363328,0.06861206889152527,0.009496918213018872,25,27.949785232543945,562.9017333984375,-6.876081466674805,-0.35546883739260177,33.394073486328125
7,191.62111562058865,43.90596258986643,0.39869771604302273,0.06570960581302643,0.02300950921998729,25,27.243478775024414,546.2235717773438,-6.84342622756958,-0.34674027339040064,32.530906677246094
12,1.505869381558807,126.53882616808268,0.2524635262766329,0.5175744295120239,0.979766620220397,25,26.431516647338867,468.3575439453125,-6.676444053649902,-1.0461386577519978,31.538619995117188
5,276.5154235471853,17.380212867951958,0.38959018952128316,0.04753997549414635,-0.0021151646828967982,25,22.61833953857422,461.084716796875,-6.659451484680176,-0.06883533828420134,26.87859344482422
19,294.27577121980073,198.1450617712616,0.39602088120045287,0.06338310986757278,0.04593141671547866,25,21.21390724182129,429.0906982421875,-6.5813727378845215,-0.031955606381181154,25.16225814819336
27,117.0195216743633,296.26008516067304,0.2308670839775671,-0.22799469530582428,-0.4194940522163977,25,20.652450561523438,408.68438720703125,-6.528470039367676,-0.4671662261069129,24.476110458374023
18,297.5692182731661,179.91527449184167,0.257576520651543,0.4564436674118042,0.9599675800811174,25,14.273420333862305,247.18740844726562,-5.982565879821777,-0.42537819015493833,16.680391311645508
